id,family,layout,N,B,workload,arm,seed,warmup_requests,measured_requests,bytes_per_request,rpc_per_request,request_bytes,response_bytes,cpu_seconds,harness_seconds,elapsed_seconds,max_online_boundary_stash,answer_sha256,transcript_sha256,receipt,receipt_sha256
MIN_formal_AB_depth_base_B4096_seed101,AB,depth,4096,4096,uniform,base,101,12288,24576,197502.0107421875,6.230631510416667,2590019448,2263789968,1813.859375,1836.2306389000732,3170.106565475464,3,82da792ce2414fabb730f1a990f08fb9009311b4dc9b15810ee7d0f87dc535c5,1a09d4809bf5907580d518135bc97960fbd42705439ec1bf6c28463bd66a2ca7,results\formal\MIN_formal_AB_depth_base_B4096_seed101.json,99cb6be4ba4033e9752aea991546e2a556b2cae8c13eda45fccfc629d9bb2eb9
MIN_formal_AB_depth_base_B4096_seed102,AB,depth,4096,4096,uniform,base,102,12288,24576,197585.69970703125,6.234130859375,2591382404,2264483752,1817.734375,1839.0799758000067,3194.2524733543396,2,973d1c5a0aa25322750657887aa75153d894bd4cc89cf2f1f49bc012fff680d7,1098531d56b0aac87097b8e352dcc01aac32779ce46cc178d5c6a7777e3c1c3f,results\formal\MIN_formal_AB_depth_base_B4096_seed102.json,b5ac1457addcee9b5e683390c69b25354ef5333d2d5a553e9a83ac45b8244bfb
MIN_formal_AB_depth_base_B4096_seed103,AB,depth,4096,4096,uniform,base,103,12288,24576,197290.91861979166,6.221354166666667,2586730672,2261890944,1812.21875,1833.6258051999612,3190.658059120178,2,805257050ecd114177e4f3be376d98ae51f7e3d73c254590c539d98c684f186c,32af5f8d390f7f541559e78a19d1498f0b3c9a508376e2991c4b0bded543be21,results\formal\MIN_formal_AB_depth_base_B4096_seed103.json,14b492d5f8d3580ea4842b9585157c71bf8bf91254b32c737cb24716f7ce682c
MIN_formal_AB_depth_base_B4096_seed104,AB,depth,4096,4096,uniform,base,104,12288,24576,197274.6427408854,6.220621744791667,2586475516,2261746104,2001.984375,2031.1983877000166,3443.45375084877,3,3d69fc4fdb2844d8148c2d6bc93130169f5b65adbca0f5fc65080cbb279d2746,ca2fa57c800d2d66df742d493d5490f61159a7d34cc704b63d5db9314ff45f3e,results\formal\MIN_formal_AB_depth_base_B4096_seed104.json,5b35a2a00380f0e461a0d5e57772a6b535855b11dfad3c4146c58526f55c475e
MIN_formal_AB_depth_base_B4096_seed105,AB,depth,4096,4096,uniform,base,105,12288,24576,197580.2628580729,6.233479817708333,2591360916,2264371624,2004.0625,2032.1663927000482,3443.8714332580566,4,ed45ca67e443d83ab04b12eb7ebe9ac32ffb05c019ff6698e6d89fe32f48f2d9,6fe09992a05edcfde70e69c8e13081da31f798f20c6e20db8726f80c18a63c2a,results\formal\MIN_formal_AB_depth_base_B4096_seed105.json,78d34d74a8a8721293e2d29880a1663bb85e4bdbef2c2b4661983e57a59d49e4
MIN_formal_AB_depth_base_B64_seed101,AB,depth,4096,64,uniform,base,101,12288,24576,18790.302897135418,6.228108723958333,258549500,203240984,241.9375,245.02570070000365,412.23490595817566,3,7100487fb51e8014099d39fd2bb7e5faea90e13daa303c13aa8cd95450f8ba31,d2b6c11647d10365cf1b76483e6b5ffe4224c6395d1ed3957bcb1aeba8e2f4c5,results\formal\MIN_formal_AB_depth_base_B64_seed101.json,9eb77308384e9a8d94434303493a4e01bed8045d58212825a5b59f908205f4dc
MIN_formal_AB_depth_base_B64_seed102,AB,depth,4096,64,uniform,base,102,12288,24576,18790.409016927082,6.229410807291667,258540332,203252760,242.34375,245.38086769997608,404.2839162349701,3,46c40b7c5dd47e85a10094d66e0f08bb96e324893a289ab802ee5c17153b02ce,7e561161f9f9ba762ca5ee1a5027ad5b7e116690e1bbb311c244d7f0addde109,results\formal\MIN_formal_AB_depth_base_B64_seed102.json,f181607c70e8147656b8270ce42edd17a7109dc79ae92935a680582f6ff4337e
MIN_formal_AB_depth_base_B64_seed103,AB,depth,4096,64,uniform,base,103,12288,24576,18796.62939453125,6.232828776041667,258669764,203276200,259.28125,262.44300920004025,440.9763355255127,2,2b2cc6b0fef146f9c667c4b87fa261949e5a641480ca610d66e72afb4223f76e,786ff5bac87d0a522fd0fe0ad0150527ef4ddb2aa13c1a3d6f340584340d8c59,results\formal\MIN_formal_AB_depth_base_B64_seed103.json,c2b6f9a373b018b3cb7d0ba8ee87fc46f665c0ca6045b8007685911136b16879
MIN_formal_AB_depth_base_B64_seed104,AB,depth,4096,64,uniform,base,104,12288,24576,18801.984049479168,6.23876953125,258799944,203277616,243.578125,246.50120289996266,407.17480087280273,3,844c3d61d7cd64c6d5a18e33b6b97baba62e7562e4e983dc3759173f6bc204d4,8bc42d2dcc6a3bd7c72c365d6559d118de370ffcd0820f7e54d9efa6b860578c,results\formal\MIN_formal_AB_depth_base_B64_seed104.json,9833a5f98c74456fc8cb3089d3cecd58df226dc0028198c2e3e4545010f83ee5
MIN_formal_AB_depth_base_B64_seed105,AB,depth,4096,64,uniform,base,105,12288,24576,18786.413736979168,6.226725260416667,258494504,203200400,245.203125,248.3188960000407,409.5128037929535,3,36113f022dc91d913c42a994c54f90aeea23ce655704928b954c53f78af0f2b4,f97c64794b7fad433d86541c6dacd45ac13dcfa5c2f491dfc2caac1b96aa941e,results\formal\MIN_formal_AB_depth_base_B64_seed105.json,3e00db854b54edf20a820688233ed2e9080ba14c832a5b56afba7983cad44faa
MIN_formal_AB_depth_full_probe_B4096_seed101,AB,depth,4096,4096,uniform,full_probe,101,12288,24576,197736.30859375,6.239908854166667,2593877952,2265689568,1919.765625,1944.2164034999441,3261.110995054245,7,82da792ce2414fabb730f1a990f08fb9009311b4dc9b15810ee7d0f87dc535c5,5cefc038ba11e745a76acfeb94e22701df9eba75900b359932a1e8e910204c1e,results\formal\MIN_formal_AB_depth_full_probe_B4096_seed101.json,960228bc39020e7dd9a84e9217205d9b86c8612869a293450e64a985930ccd27
MIN_formal_AB_depth_full_probe_B4096_seed102,AB,depth,4096,4096,uniform,full_probe,102,12288,24576,197317.43359375,6.222330729166667,2587177856,2262095392,1913.046875,1937.9420878000092,3264.6621313095093,7,973d1c5a0aa25322750657887aa75153d894bd4cc89cf2f1f49bc012fff680d7,385ed973d0647aa3ab8a7b07cb45c1e6080c6f4cb827cc0867bb7335b0b4e382,results\formal\MIN_formal_AB_depth_full_probe_B4096_seed102.json,9da149c3ab594b49427b9f532a2eee55e1494ff33a30203da3c55d753aeff0c5
