height,a,b,c,mass_hex
4,0,0,2,0x1.6a93855395b78p-6
4,0,0,3,0x1.6ae4fadbb3f8bp-7
4,0,0,4,0x1.44b5e30d857a1p-8
4,0,0,5,0x1.4cf85d94a7862p-10
4,0,0,6,0x1.beb33a0c688c2p-12
4,0,0,7,0x1.dc5cba9655aa4p-14
4,0,0,8,0x1.48bf662e6fffcp-16
4,0,1,0,0x1.9496d531ef843p-5
4,0,1,1,0x1.f2b942898121p-8
4,0,1,2,0x1.1c3f5f3d59956p-8
4,0,1,3,0x1.1c7f3bb46cfbfp-9
4,0,1,4,0x1.fcf42ed3fcd88p-11
4,0,1,5,0x1.03fecebbf3ddbp-12
4,0,1,6,0x1.5654b6d19b9cep-14
4,0,1,7,0x1.57a2d6a96b8d5p-16
4,0,2,0,0x1.08ed2f8e54e2ep-5
4,0,2,1,0x1.4690ecec18c18p-8
4,0,2,2,0x1.7440b1158ee45p-9
4,0,2,3,0x1.74746b85ca75bp-10
4,0,2,4,0x1.4bef3b5d5a41dp-11
4,0,2,5,0x1.4cd7cd5d99ba1p-13
4,0,2,6,0x1.9c86a8bfb0457p-15
4,0,3,0,0x1.3747b4597223p-6
4,0,3,1,0x1.7fb463af50b47p-9
4,0,3,2,0x1.b53d15417ab3ap-10
4,0,3,3,0x1.b3e01891d5272p-11
4,0,3,4,0x1.7d4043abd29ecp-12
4,0,3,5,0x1.67db475d599dbp-14
4,0,4,0,0x1.4e0f09f903d4p-7
4,0,4,1,0x1.9ba538516ccb4p-10
4,0,4,2,0x1.d35c85ce8c53fp-11
4,0,4,3,0x1.c943741212103p-12
4,0,4,4,0x1.787bec3c79828p-13
4,0,5,0,0x1.2219bf9697232p-8
4,0,5,1,0x1.642b7bd5eac5ep-11
4,0,5,2,0x1.8ce0ab20de982p-12
4,0,5,3,0x1.6d8313712fcadp-13
4,0,6,0,0x1.01006cfbf6c94p-9
4,0,6,1,0x1.35ae4b970cf8bp-12
4,0,6,2,0x1.44d26123d352p-13
4,0,7,0,0x1.9535501d66fbap-11
4,0,7,1,0x1.cb9bc839e3f19p-14
4,0,8,0,0x1.0dad8801b4e59p-12
4,1,0,0,0x1.257c7c702d2f2p-4
4,1,0,1,0x1.69c552a34d50fp-7
4,1,0,2,0x1.9c61ec505c0d5p-8
4,1,0,3,0x1.9cbe92726820bp-9
4,1,0,4,0x1.7150b27cbf2dbp-10
4,1,0,5,0x1.7949c2164463ap-12
4,1,0,6,0x1.f224986c13e5p-14
4,1,0,7,0x1.ff270eb9259d1p-16
4,1,1,0,0x1.cc2aaad77797ep-7
4,1,1,1,0x1.1b9db841d289dp-9
4,1,1,2,0x1.434b41d4defdbp-10
4,1,1,3,0x1.4393e40c22d01p-11
4,1,1,4,0x1.2058f5b36434dp-12
4,1,1,5,0x1.21efd92ac52d6p-14
4,1,1,6,0x1.6f551ec29bf52p-16
4,1,2,0,0x1.2d519fefedc48p-7
4,1,2,1,0x1.736cfd9f581e9p-10
4,1,2,2,0x1.a7636093c5b9cp-11
4,1,2,3,0x1.a6072ecbccc05p-12
4,1,2,4,0x1.722924c464faap-13
4,1,2,5,0x1.6526d10a88371p-15
4,1,3,0,0x1.620a3839ed24fp-8
4,1,3,1,0x1.b469cba0baa75p-11
4,1,3,2,0x1.ef6f3eb83fcbep-12
4,1,3,3,0x1.e61255fa7b81bp-13
4,1,3,4,0x1.99185798ce8a2p-14
4,1,4,0,0x1.7bf2974b2c7bdp-9
4,1,4,1,0x1.d26f5630b9318p-12
4,1,4,2,0x1.04978228724bp-12
4,1,4,3,0x1.eaa8b3a36eae6p-14
4,1,5,0,0x1.48b66ead524bep-10
4,1,5,1,0x1.8d2fe39aaf296p-13
4,1,5,2,0x1.a9dce8cc3c2a8p-14
4,1,6,0,0x1.1e99355dbd22cp-11
4,1,6,1,0x1.4c4c41f5ee6b3p-14
4,1,7,0,0x1.b2cd4edf3442ep-13
4,2,0,0,0x1.d44373a3be3bep-5
4,2,0,1,0x1.209b3efab325ep-7
4,2,0,2,0x1.48fb8260a75f1p-8
4,2,0,3,0x1.49456bc417f07p-9
